"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00418050598063636,1.68756179299266e-06,2477.24616544133,0
"`age_under2: yes & agri_occupation: no & wealth_poor: no`",-1.12567296109522e-05,3.27500189699806e-06,-3.43716735592439,0.000588061085716069
"`age_under2: yes & agri_occupation: no`",3.04263464212967e-05,3.19777074080935e-06,9.51486172320026,1.85637079716739e-21
"`mass_media: no & agri_occupation: yes`",0.000270357982229301,3.10905144626352e-06,86.9583494844443,0
"`mass_media: yes & rural_residence: no`",-0.0010208217730235,1.74248819235926e-06,-585.841429227332,0
"`mass_media: yes & agri_occupation: no`",-0.000288144174103151,2.93767182543694e-06,-98.0858963237981,0
"`age_under2: yes & wealth_poor: no`",0.000101541964916325,3.41362159177451e-06,29.7461104537776,1.26019037585194e-193
"`age_under2: yes & education_none: no`",-0.00169449212345225,3.05777447279254e-06,-554.158633519081,0
"`age_under2: no & education_none: yes`",0.00169632641263964,2.01111107106455e-06,843.477238550387,0
"`age_under2: no & mass_media: no`",-0.000438032516872396,2.30551506884415e-06,-189.993343696513,0
"`mass_media: no & rural_residence: yes`",0.00110700829782782,1.92679271753602e-06,574.534192366814,0
"`age_under2: yes & mass_media: yes`",0.000283657167802567,2.42307075252218e-06,117.065161018228,0
"`age_under2: no & rural_residence: yes`",1.27226973461343e-05,1.8791963298589e-06,6.7702863952962,1.29203517555038e-11
"`agri_occupation: no & wealth_poor: no`",0.00017356521610355,2.18765241159088e-06,79.3385709649057,0
"`age_under2: no & agri_occupation: yes`",-3.37380972773224e-05,2.82684766515384e-06,-11.9348834014678,8.17943961039076e-33
"`education_none: yes & agri_occupation: yes`",2.37661562682521e-05,1.70310056357025e-06,13.9546405988092,3.2305268452647e-44
"`age_under2: no & wealth_poor: yes`",-0.000265005866586946,2.71988844282941e-06,-97.4326234907156,0
"`sex_male: yes & age_under2: no`",4.00059244653729e-07,1.45259307597244e-06,0.27541040314123,0.78300149723105
"`mass_media: no & wealth_poor: yes`",-2.09338633408636e-05,1.99838393763402e-06,-10.4753961171486,1.15402129166231e-25
"`education_none: yes & mass_media: no`",-4.30626255411904e-05,1.61528384766434e-06,-26.6594788299641,4.64557310320605e-156
"`education_none: yes & wealth_poor: yes`",-3.4631084663569e-05,2.19370832552095e-06,-15.7865493150029,4.4721591987871e-56
"`sex_male: yes`",0.000150744523428335,1.64336706532427e-06,91.7290644367331,0
"`sex_male: no & mass_media: yes & wealth_poor: no`",5.49332296133439e-06,1.92328396929417e-06,2.85622042768359,0.00428801922185906
"`sex_male: yes & wealth_poor: yes`",-2.52116690220814e-06,1.80416995828956e-06,-1.39741097595835,0.162292988353316
"`age_under2: yes & education_none: no & wealth_poor: no`",1.46558717671255e-06,3.08917852842654e-06,0.47442618263278,0.635197017541773
"`education_none: yes & rural_residence: yes`",0.000105194457930247,1.98209433973143e-06,53.0723769406966,0
